"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2019","3,913.21","3,901.17","4,126.09","3,875.45","3.86M","1.06%"
"03/01/2019","3,872.34","3,699.22","3,886.58","3,650.81","4.63M","5.53%"
"02/01/2019","3,669.37","3,225.73","3,762.11","3,207.72","2.81M","14.61%"
"01/01/2019","3,201.63","3,017.07","3,228.87","2,935.83","1.81M","6.34%"
"12/01/2018","3,010.65","3,260.69","3,273.64","2,964.88","1.43M","-5.11%"
"11/01/2018","3,172.69","3,185.20","3,294.60","3,126.29","2.09M","0.60%"
"10/01/2018","3,153.82","3,361.56","3,364.46","3,009.50","1.74M","-8.29%"
"09/01/2018","3,438.86","3,320.69","3,448.26","3,191.40","1.33M","3.13%"
"08/01/2018","3,334.50","3,530.03","3,543.61","3,209.01","1.72M","-5.21%"
"07/01/2018","3,517.66","3,504.46","3,596.51","3,295.73","1.86M","0.19%"
"06/01/2018","3,510.98","3,789.67","3,859.85","3,416.95","1.65M","-7.66%"
"05/01/2018","3,802.38","3,769.93","3,937.46","3,722.07","1.73M","1.21%"
"04/01/2018","3,756.88","3,897.01","3,958.71","3,708.11","1.71M","-3.63%"
"03/01/2018","3,898.50","3,994.87","4,139.53","3,794.26","2.34M","-3.11%"
"02/01/2018","4,023.64","4,276.34","4,287.39","3,759.15","2.16M","-5.90%"
"01/01/2018","4,275.90","4,045.21","4,403.34","4,045.21","3.65M","6.08%"
"12/01/2017","4,030.85","4,003.56","4,086.93","3,955.44","1.99M","0.62%"
"11/01/2017","4,006.10","4,007.91","4,260.64","3,963.03","3.09M","-0.02%"
"10/01/2017","4,006.72","3,910.11","4,033.34","3,855.47","1.81M","4.44%"
"09/01/2017","3,836.50","3,825.34","3,865.29","3,808.38","2.40M","0.38%"
"08/01/2017","3,822.09","3,738.74","3,866.94","3,645.09","2.94M","2.25%"
"07/01/2017","3,737.87","3,667.23","3,755.19","3,610.46","2.62M","1.94%"
"06/01/2017","3,666.80","3,485.22","3,676.53","3,460.45","2.02M","4.98%"
"05/01/2017","3,492.88","3,427.92","3,515.08","3,312.89","1.97M","1.54%"
"04/01/2017","3,439.75","3,476.42","3,526.81","3,399.54","2.29M","-0.47%"
"03/01/2017","3,456.05","3,452.21","3,505.98","3,412.69","2.14M","0.09%"
"02/01/2017","3,452.81","3,390.93","3,492.96","3,347.43","1.77M","1.91%"
"01/01/2017","3,387.96","3,313.95","3,395.88","3,264.21","1.47M","2.35%"
"12/01/2016","3,310.08","3,543.96","3,575.97","3,267.05","2.54M","-6.44%"
"11/01/2016","3,538.00","3,338.71","3,583.72","3,322.08","3.19M","6.05%"
"10/01/2016","3,336.28","3,265.36","3,382.83","3,258.96","1.48M","2.55%"
"09/01/2016","3,253.28","3,326.74","3,357.36","3,214.44","1.44M","-2.24%"
"08/01/2016","3,327.79","3,196.43","3,418.69","3,156.75","2.37M","3.87%"
"07/01/2016","3,203.93","3,156.93","3,300.99","3,134.02","2.32M","1.59%"
"06/01/2016","3,153.92","3,172.96","3,201.75","3,033.97","1.69M","-0.49%"
"05/01/2016","3,169.56","3,159.82","3,222.88","3,027.44","1.59M","0.41%"
"04/01/2016","3,156.75","3,213.67","3,296.52","3,107.37","2.06M","-1.91%"
"03/01/2016","3,218.09","2,881.34","3,267.78","2,863.32","3.06M","11.84%"
"02/01/2016","2,877.47","2,939.04","3,128.21","2,821.21","1.71M","-2.33%"
