"Date","Price","Open","High","Low","Change %"
"11/01/2020","3.280","3.190","3.418","3.166","2.76%"
"10/01/2020","3.192","3.294","3.300","3.161","1.17%"
"09/01/2020","3.155","3.055","3.250","3.038","3.34%"
"08/01/2020","3.053","3.035","3.135","2.940","2.69%"
"07/01/2020","2.973","2.900","3.200","2.870","2.69%"
"06/01/2020","2.895","2.738","3.010","2.703","6.94%"
"05/01/2020","2.707","2.545","2.753","2.540","7.85%"
"04/01/2020","2.510","2.660","2.682","2.490","-5.75%"
"03/01/2020","2.663","2.750","2.865","2.578","-4.82%"
"02/01/2020","2.798","2.850","2.955","2.798","-8.26%"
"01/01/2020","3.050","3.175","3.215","3.015","-3.88%"
"12/01/2019","3.173","3.215","3.287","3.140","-0.60%"
"11/01/2019","3.192","3.343","3.343","3.163","-2.71%"
"10/01/2019","3.281","3.190","3.378","3.115","3.99%"
"09/01/2019","3.155","3.080","3.215","3.015","2.84%"
"08/01/2019","3.068","3.192","3.194","3.015","-3.61%"
"07/01/2019","3.183","3.315","3.315","3.140","-2.93%"
"06/01/2019","3.279","3.320","3.324","3.243","-0.55%"
"05/01/2019","3.297","3.400","3.415","3.265","-3.48%"
"04/01/2019","3.416","3.140","3.480","3.114","11.09%"
"03/01/2019","3.075","3.218","3.280","3.075","-4.15%"
"02/01/2019","3.208","3.143","3.230","3.080","2.49%"
"01/01/2019","3.130","3.280","3.280","3.091","-4.28%"
"12/01/2018","3.270","3.420","3.443","3.268","-3.77%"
"11/01/2018","3.398","3.562","3.588","3.350","-3.82%"
"10/01/2018","3.533","3.640","3.668","3.525","-3.34%"
"09/01/2018","3.655","3.650","3.727","3.605","1.53%"
"08/01/2018","3.600","3.583","3.710","3.465","1.90%"
"07/01/2018","3.533","3.550","3.615","3.444","-0.28%"
"06/01/2018","3.543","3.666","3.722","3.534","-2.83%"
"05/01/2018","3.646","3.700","3.780","3.621","-0.19%"
"04/01/2018","3.653","3.800","3.800","3.520","-3.31%"
"03/01/2018","3.778","3.860","3.975","3.733","-2.05%"
"02/01/2018","3.857","3.986","3.990","3.847","-2.21%"
"01/01/2018","3.944","3.950","4.120","3.881","0.74%"
"12/01/2017","3.915","3.925","3.995","3.880","-0.05%"
"11/01/2017","3.917","3.919","4.033","3.871","0.03%"
