"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2019","5,556.49","5,380.81","5,611.67","5,343.24","","3.21%"
"01/01/2019","5,383.63","4,924.81","5,393.26","4,860.86","","8.01%"
"12/01/2018","4,984.22","5,539.12","5,558.16","4,664.09","","-9.03%"
"11/01/2018","5,478.91","5,381.20","5,577.68","5,219.62","","2.04%"
"10/01/2018","5,369.49","5,787.81","5,814.82","5,155.62","","-6.83%"
"09/01/2018","5,763.42","5,722.32","5,814.95","5,660.05","","0.57%"
"08/01/2018","5,730.80","5,559.58","5,758.84","5,511.30","","3.26%"
"07/01/2018","5,549.96","5,324.65","5,611.49","5,312.84","","3.72%"
"06/01/2018","5,350.83","5,344.99","5,490.37","5,298.65","","0.62%"
"05/01/2018","5,318.10","5,184.42","5,387.38","5,089.09","","2.41%"
"04/01/2018","5,193.04","5,158.70","5,327.62","5,002.71","","0.38%"
"03/01/2018","5,173.19","5,311.62","5,484.36","5,064.43","","-2.54%"
"02/01/2018","5,308.09","5,497.92","5,535.85","4,947.99","","-3.69%"
"01/01/2018","5,511.21","5,232.72","5,606.08","5,230.06","","5.73%"
"12/01/2017","5,212.76","5,150.83","5,251.39","5,074.14","","1.11%"
"11/01/2017","5,155.44","5,017.47","5,174.64","4,974.38","","3.07%"
"10/01/2017","5,002.03","4,891.56","5,016.43","4,890.03","","2.33%"
"09/01/2017","4,887.97","4,794.86","4,888.00","4,741.05","","2.06%"
"08/01/2017","4,789.18","4,787.73","4,816.97","4,680.53","","0.31%"
"07/01/2017","4,774.56","4,694.19","4,800.75","4,651.21","","2.06%"
"06/01/2017","4,678.36","4,657.33","4,735.11","4,644.07","","0.62%"
"05/01/2017","4,649.34","4,593.11","4,660.46","4,532.45","","1.41%"
"04/01/2017","4,584.82","4,537.71","4,611.16","4,477.06","","1.03%"
"03/01/2017","4,538.21","4,565.38","4,605.27","4,459.50","","0.12%"
"02/01/2017","4,532.93","4,373.65","4,547.92","4,347.69","","3.97%"
"01/01/2017","4,359.81","4,303.12","4,401.57","4,290.85","","1.90%"
"12/01/2016","4,278.66","4,198.49","4,348.89","4,174.22","","1.98%"
"11/01/2016","4,195.73","4,050.74","4,224.90","3,967.38","","3.70%"
"10/01/2016","4,045.89","4,114.09","4,126.36","4,022.62","","-1.82%"
"09/01/2016","4,121.06","4,121.06","4,153.66","4,023.89","","0.02%"
"08/01/2016","4,120.29","4,113.66","4,160.49","4,065.38","","0.14%"
"07/01/2016","4,114.51","3,969.85","4,121.11","3,923.65","","3.69%"
"06/01/2016","3,968.21","3,952.93","4,004.69","3,764.35","","0.26%"
"05/01/2016","3,957.95","3,891.68","3,970.23","3,821.53","","1.80%"
"04/01/2016","3,888.13","3,867.28","3,973.53","3,826.77","","0.39%"
"03/01/2016","3,873.11","3,636.25","3,896.50","3,636.25","","6.78%"
"02/01/2016","3,627.06","3,625.89","3,684.39","3,393.43","","-0.13%"
"01/01/2016","3,631.96","3,811.74","3,811.74","3,391.77","","-4.96%"
"12/01/2015","3,821.60","3,887.86","3,928.49","3,723.72","","-1.58%"
"11/01/2015","3,882.84","3,873.94","3,940.51","3,765.58","","0.30%"
"10/01/2015","3,871.33","3,569.72","3,899.13","3,522.15","","8.44%"
"09/01/2015","3,570.17","3,657.04","3,755.47","3,480.54","","-2.47%"
"08/01/2015","3,660.75","3,897.01","3,913.73","3,464.03","","-6.03%"
"07/01/2015","3,895.80","3,823.98","3,947.73","3,781.63","","2.10%"
"06/01/2015","3,815.85","3,893.88","3,937.37","3,803.31","","-1.94%"
"05/01/2015","3,891.18","3,845.23","3,939.46","3,811.27","","1.29%"
"04/01/2015","3,841.78","3,805.27","3,915.37","3,769.88","","0.96%"
"03/01/2015","3,805.27","3,867.98","3,890.52","3,750.29","","-1.58%"
"02/01/2015","3,866.42","3,659.45","3,893.44","3,630.70","","5.75%"
"01/01/2015","3,656.28","3,776.49","3,794.52","3,642.50","","-3.00%"
"12/01/2014","3,769.44","3,775.87","3,832.37","3,608.74","","-0.25%"
"11/01/2014","3,778.96","3,680.31","3,792.15","3,648.97","","2.69%"
"10/01/2014","3,679.98","3,591.02","3,680.22","3,319.83","","2.44%"
"09/01/2014","3,592.26","3,644.77","3,676.16","3,577.03","","-1.40%"
"08/01/2014","3,643.34","3,501.61","3,644.83","3,458.44","","4.00%"
"07/01/2014","3,503.19","3,556.56","3,612.27","3,503.19","","-1.38%"
"06/01/2014","3,552.18","3,481.15","3,565.48","3,466.99","","2.07%"
"05/01/2014","3,480.28","3,401.48","3,481.10","3,358.88","","2.35%"
"04/01/2014","3,400.46","3,378.66","3,421.23","3,273.74","","0.74%"
"03/01/2014","3,375.52","3,344.36","3,395.00","3,302.57","","0.84%"
"02/01/2014","3,347.38","3,201.12","3,362.62","3,121.85","","4.57%"
"01/01/2014","3,200.96","3,311.58","3,321.89","3,179.25","","-3.46%"
"12/01/2013","3,315.59","3,235.18","3,317.24","3,169.13","","2.53%"
"11/01/2013","3,233.72","3,141.95","3,247.56","3,122.47","","3.05%"
"10/01/2013","3,138.08","3,001.92","3,171.20","2,939.67","","4.60%"
"09/01/2013","3,000.18","2,914.42","3,085.02","2,909.90","","3.14%"
"08/01/2013","2,908.95","3,002.58","3,038.62","2,898.57","","-2.90%"
"07/01/2013","2,995.72","2,856.88","3,018.26","2,848.61","","5.09%"
"06/01/2013","2,850.64","2,891.18","2,933.99","2,768.16","","-1.34%"
"05/01/2013","2,889.45","2,823.43","2,987.60","2,794.64","","2.34%"
"04/01/2013","2,823.39","2,770.06","2,823.39","2,714.23","","1.93%"
"03/01/2013","2,770.04","2,669.92","2,771.93","2,646.73","","3.75%"
"02/01/2013","2,669.81","2,634.16","2,696.26","2,616.67","","1.36%"
"01/01/2013","2,633.99","2,504.45","2,654.12","2,504.45","","5.17%"
"12/01/2012","2,504.43","2,481.82","2,540.69","2,450.78","","0.91%"
